ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime,dnssec_status,non_existence_proof_method,score,grade,algorithms,digest_algorithms,raw_result
FR0004,École nationale supérieure d'architecture de Marseille,public,Other,No,www.marseille.archi.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-02-07 21:26:49.164094,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""archi.fr."", ""type"": 48}], ""Authority"": [{""name"": ""archi.fr."", ""type"": 6, ""TTL"": 789, ""data"": ""corbu.gamsau.archi.fr. dnsmaster.archi.fr. 2024112127 28800 7200 1209600 86400""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""archi.fr."", ""type"": 48}], ""Authority"": [{""name"": ""archi.fr."", ""type"": 6, ""TTL"": 787, ""data"": ""corbu.gamsau.archi.fr. dnsmaster.archi.fr. 2024112127 28800 7200 1209600 86400""}]}}"
FR0002,Université de technologie de Troyes,public,Other,Yes,www.utt.fr,FRF2,Champagne-Ardenne,Champagne-Ardenne,FRF22,Aube,Aube,2025-02-07 21:26:49.210035,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""utt.fr."", ""type"": 48}], ""Authority"": [{""name"": ""utt.fr."", ""type"": 6, ""TTL"": 1800, ""data"": ""pluton.utt.fr. postmaster.utt.fr. 2020012472 1200 300 1209600 3600""}], ""Comment"": ""Response from 2001:660:4201:1::2.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""utt.fr."", ""type"": 48}], ""Authority"": [{""name"": ""utt.fr."", ""type"": 6, ""TTL"": 1799, ""data"": ""pluton.utt.fr. postmaster.utt.fr. 2020012472 1200 300 1209600 3600""}]}}"
FR0007,Aix-Marseille université,public,University,Yes,www.univ-amu.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-02-07 21:26:49.211035,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""univ-amu.fr."", ""type"": 48}], ""Authority"": [{""name"": ""univ-amu.fr."", ""type"": 6, ""TTL"": 600, ""data"": ""ns1.univmed.fr. dnsmaster.univ-amu.fr. 2025020703 28800 7200 3600000 600""}], ""Comment"": ""Response from 193.48.169.40.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""univ-amu.fr."", ""type"": 48}], ""Authority"": [{""name"": ""univ-amu.fr."", ""type"": 6, ""TTL"": 599, ""data"": ""ns1.univmed.fr. dnsmaster.univ-amu.fr. 2025020703 28800 7200 3600000 600""}]}}"
FR0005,École supérieure d'art et de design Marseille-Mediterranée,public,Other,No,www.esadmm.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-02-07 21:26:49.224037,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""esadmm.fr."", ""type"": 48}], ""Authority"": [{""name"": ""esadmm.fr."", ""type"": 6, ""TTL"": 1800, ""data"": ""a.dns.gandi.net. hostmaster.gandi.net. 1697791429 10800 3600 604800 10800""}], ""Comment"": ""Response from 217.70.179.1.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""esadmm.fr."", ""type"": 48}], ""Authority"": [{""name"": ""esadmm.fr."", ""type"": 6, ""TTL"": 786, ""data"": ""a.dns.gandi.net. hostmaster.gandi.net. 1697791429 10800 3600 604800 10800""}]}}"
FR0003,École de l'air,public,Other,No,www.ecole-air-espace.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-02-07 21:26:49.247053,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""ecole-air-espace.fr."", ""type"": 48}], ""Authority"": [{""name"": ""ecole-air-espace.fr."", ""type"": 6, ""TTL"": 300, ""data"": ""ns1.bdm.microsoftonline.com. azuredns-hostmaster.microsoft.com. 1 3600 300 2419200 300""}], ""Comment"": ""Response from 208.84.5.208.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""ecole-air-espace.fr."", ""type"": 48}], ""Authority"": [{""name"": ""ecole-air-espace.fr."", ""type"": 6, ""TTL"": 300, ""data"": ""ns1.bdm.microsoftonline.com. azuredns-hostmaster.microsoft.com. 1 3600 300 2419200 300""}], ""Comment"": ""Response from ns4.bdm.microsoftonline.com.(13.107.236.208).""}}"
FR0008,Université de Caen Basse-Normandie,public,University,No,www.unicaen.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD11,Calvados ,Calvados,2025-02-07 21:26:49.411488,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unicaen.fr."", ""type"": 48}], ""Answer"": [{""name"": ""unicaen.fr."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 13 t4IgUI0DiVlefUBfNl7wCwd7N/Svr9YifXEXX95EFhpXEViiya75zx+Xkw5XSKKgFuzfyWgwlcmF4gPTOaYZWA==""}], ""Comment"": ""Response from 2001:41d0:304:200::14df.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unicaen.fr."", ""type"": 48}], ""Answer"": [{""name"": ""unicaen.fr."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 13 t4IgUI0DiVlefUBfNl7wCwd7N/Svr9YifXEXX95EFhpXEViiya75zx+Xkw5XSKKgFuzfyWgwlcmF4gPTOaYZWA==""}]}}"
FR0010,École nationale supérieure d'ingénieurs de Caen,public,Other,No,www.ensicaen.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD11,Calvados ,Calvados,2025-02-07 21:26:49.462827,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""ensicaen.fr."", ""type"": 48}], ""Authority"": [{""name"": ""ensicaen.fr."", ""type"": 6, ""TTL"": 300, ""data"": ""ns.ensicaen.fr. infra.ensicaen.fr. 2025012002 14400 3600 2419200 3600""}], ""Comment"": ""Response from caeau2.in2p3.fr.(51.38.230.158).""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""ensicaen.fr."", ""type"": 48}], ""Authority"": [{""name"": ""ensicaen.fr."", ""type"": 6, ""TTL"": 300, ""data"": ""ns.ensicaen.fr. infra.ensicaen.fr. 2025012002 14400 3600 2419200 3600""}], ""Comment"": ""Response from caeau2.in2p3.fr.(193.49.200.14).""}}"
FR0011,École supérieure d'ingénieurs des travaux de la construction de Caen,private,Other,No,www.esitc-caen.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD11,Calvados ,Calvados,2025-02-07 21:26:49.484813,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""esitc-caen.fr."", ""type"": 48}], ""Authority"": [{""name"": ""esitc-caen.fr."", ""type"": 6, ""TTL"": 1800, ""data"": ""91-121-61-23.ovh.net. contact.net-conception.fr. 2023101017 3600 600 1209600 3600""}], ""Comment"": ""Response from 188.165.55.222.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""esitc-caen.fr."", ""type"": 48}], ""Authority"": [{""name"": ""esitc-caen.fr."", ""type"": 6, ""TTL"": 1800, ""data"": ""91-121-61-23.ovh.net. contact.net-conception.fr. 2023101017 3600 600 1209600 3600""}], ""Comment"": ""Response from 91-121-61-23.ovh.net.(188.165.55.222).""}}"
FR0013,École d'ingénieurs en génie des systèmes industriels,private,Other,No,www.eigsi.fr,FRI3,Poitou-Charentes,Poitou-Charentes,FRI32,Charente-Maritime,Charente-Maritime,2025-02-07 21:26:49.525964,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""eigsi.fr."", ""type"": 48}], ""Authority"": [{""name"": ""eigsi.fr."", ""type"": 6, ""TTL"": 1800, ""data"": ""sergeant.eigsi.fr. named.eigsi.fr. 2024083001 10800 3600 604800 3600""}], ""Comment"": ""Response from 193.49.31.112.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""eigsi.fr."", ""type"": 48}], ""Authority"": [{""name"": ""eigsi.fr."", ""type"": 6, ""TTL"": 1800, ""data"": ""sergeant.eigsi.fr. named.eigsi.fr. 2024083001 10800 3600 604800 3600""}], ""Comment"": ""Response from 95.142.172.156.""}}"
FR0006,École centrale de Marseille,public,Other,No,www.centrale-marseille.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-02-07 21:26:49.558017,Valid,NSEC3,98.0,A,"[{'code': 8, 'name': 'RSASHA256', 'classificationRFC8624': 100, 'dnsKeyType': Key Signing Key (KSK)}, {'code': 8, 'name': 'RSASHA256', 'classificationRFC8624': 100, 'dnsKeyType': Zone Signing Key (ZSK)}]","[{'code': 2, 'name': 'SHA256', 'classificationRFC8624': 100}, {'code': 2, 'name': 'SHA256', 'classificationRFC8624': 100}, {'code': 2, 'name': 'SHA256', 'classificationRFC8624': 100}]","{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""centrale-marseille.fr."", ""type"": 48}], ""Answer"": [{""name"": ""centrale-marseille.fr."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 8 AwEAAbieKsdw7i3GQ0HMlxMGP8p6s3QGrLiNpG4ksEbBq/gid9R+YW/wPCiNG0/TbspiIzsyBR/QS5Slv+bZR/Qs4q61aBzyK+ihYkScZIdt89M1Z38Z3C7QPSUy7MMVFvzQHmmu36+XTQFH/TPqtaY+uLY3axK5eaVoPnkDCobCT1+ztIyzQYG78bNVqGWXZFI9Fh4VU9aaP6JKHLbaKTE6PYcvl7/SAoKqf+GHhE2m8uEvyGQ8BSstbg6080215fcsKUC8/S4uirS3hhc2KnUvYEsi6unx/nAE9giwwlVMuca5H611cbVUVXauPjcRwSfUwDTH4+vdfVKX2vy2Zj8T9Vk=""}, {""name"": ""centrale-marseille.fr."", ""type"": 48, ""TTL"": 3600, ""data"": ""256 3 8 AwEAAbDulMh9hKR7inUY4VUNfHfr12OAStp69eGCxpXaYBLU6D7ld67oMKmPapgcTXqX14QF8Xpj+Di/l018KFD+HMsma9BHrHQYC8F8iXlOtB+n02J0eO5/BUk9D/WuGQ5lqisTygsJou3WxVezdVAj2W5vM94lHT0sRMBEDTn+5G0bieCjcV2ipYMSi7rpsHJBCjggsQrlYYLjefXLpm/TkqTE/UwOy9LaeaH2ToYKxCEPl3fLwBT5Qf7D6HUk57QBK3EoC7uWgZMtBnhiGGHFh2SzJEwwN20kNBAZLJ+pjDoj3uTuhq5ISCv2k+fL/RUct+Fy0Qy6NnkVy2NTka+RaIE=""}], ""Comment"": ""Response from 2001:660:5404:b0b:53:53:53:53.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""centrale-marseille.fr."", ""type"": 48}], ""Answer"": [{""name"": ""centrale-marseille.fr."", ""type"": 48, ""TTL"": 3600, ""data"": ""256 3 8 AwEAAbDulMh9hKR7inUY4VUNfHfr12OAStp69eGCxpXaYBLU6D7ld67oMKmPapgcTXqX14QF8Xpj+Di/l018KFD+HMsma9BHrHQYC8F8iXlOtB+n02J0eO5/BUk9D/WuGQ5lqisTygsJou3WxVezdVAj2W5vM94lHT0sRMBEDTn+5G0bieCjcV2ipYMSi7rpsHJBCjggsQrlYYLjefXLpm/TkqTE/UwOy9LaeaH2ToYKxCEPl3fLwBT5Qf7D6HUk57QBK3EoC7uWgZMtBnhiGGHFh2SzJEwwN20kNBAZLJ+pjDoj3uTuhq5ISCv2k+fL/RUct+Fy0Qy6NnkVy2NTka+RaIE=""}, {""name"": ""centrale-marseille.fr."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 8 AwEAAbieKsdw7i3GQ0HMlxMGP8p6s3QGrLiNpG4ksEbBq/gid9R+YW/wPCiNG0/TbspiIzsyBR/QS5Slv+bZR/Qs4q61aBzyK+ihYkScZIdt89M1Z38Z3C7QPSUy7MMVFvzQHmmu36+XTQFH/TPqtaY+uLY3axK5eaVoPnkDCobCT1+ztIyzQYG78bNVqGWXZFI9Fh4VU9aaP6JKHLbaKTE6PYcvl7/SAoKqf+GHhE2m8uEvyGQ8BSstbg6080215fcsKUC8/S4uirS3hhc2KnUvYEsi6unx/nAE9giwwlVMuca5H611cbVUVXauPjcRwSfUwDTH4+vdfVKX2vy2Zj8T9Vk=""}], ""Comment"": ""Response from 2001:660:5404:b0b:53:53:53:53.""}, ""ds"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""centrale-marseille.fr."", ""type"": 43}], ""Answer"": [{""name"": ""centrale-marseille.fr."", ""type"": 43, ""TTL"": 3600, ""data"": ""25874 8 2 4E494E118236A92BEC87E41306A210B7B582BB26E48F5938189D83EC0EA1746F""}, {""name"": ""centrale-marseille.fr."", ""type"": 43, ""TTL"": 3600, ""data"": ""5284 8 2 B4D2F8090F258CE54ECD0F1F54EEED8F92F3117D7B5D37512971DED5A611293C""}, {""name"": ""centrale-marseille.fr."", ""type"": 43, ""TTL"": 3600, ""data"": ""62864 8 2 A067B8A51BE31451BA2504AF8E837A6D9C791C20ECFA4CE9ECABB65D5FB0BC59""}], ""Comment"": ""Response from 2001:678:4c::1.""}, ""nsec"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""centrale-marseille.fr."", ""type"": 47}], ""Authority"": [{""name"": ""centrale-marseille.fr."", ""type"": 6, ""TTL"": 786, ""data"": ""ns.ec-m.fr. dns.ec-m.fr. 2025011300 21605 3600 2419200 3600""}]}, ""nsec3Param"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""centrale-marseille.fr."", ""type"": 51}], ""Answer"": [{""name"": ""centrale-marseille.fr."", ""type"": 51, ""TTL"": 0, ""data"": ""1 0 5 d071a3f56acf741d""}], ""Comment"": ""Response from 31.170.11.26.""}}"
