ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime,dnssec_status,non_existence_proof_method,score,grade,algorithms,digest_algorithms,raw_result
IT0002,Università della VALLE D'AOSTA,public,University,No,www.univda.it,ITC2,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste,ITC20,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste,2025-02-07 21:27:07.344911,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""univda.it."", ""type"": 48}], ""Authority"": [{""name"": ""univda.it."", ""type"": 6, ""TTL"": 793, ""data"": ""ns1.invallee.it. hostmaster.invallee.it. 78 86400 1800 604800 86400""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""univda.it."", ""type"": 48}], ""Authority"": [{""name"": ""univda.it."", ""type"": 6, ""TTL"": 793, ""data"": ""ns1.invallee.it. hostmaster.invallee.it. 78 86400 1800 604800 86400""}]}}"
IT0005,Università degli Studi di BARI ALDO MORO,public,University,No,www.uniba.it,ITF4,Puglia,Puglia,ITF47,Bari,Bari,2025-02-07 21:27:07.381914,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""uniba.it."", ""type"": 48}], ""Authority"": [{""name"": ""uniba.it."", ""type"": 6, ""TTL"": 793, ""data"": ""gauss.uniba.it. root.gauss.uniba.it. 2025020601 3600 1800 1209600 86400""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uniba.it."", ""type"": 48}], ""Authority"": [{""name"": ""uniba.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""gauss.uniba.it. root.gauss.uniba.it. 2025020601 3600 1800 1209600 86400""}], ""Comment"": ""Response from 193.206.141.38.""}}"
IT0001,Università Politecnica delle MARCHE,public,University,No,www.univpm.it,ITI3,Marche,Marche,ITI32,Ancona,Ancona,2025-02-07 21:27:07.402909,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""univpm.it."", ""type"": 48}], ""Authority"": [{""name"": ""univpm.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns.univpm.it. root.dns.univpm.it. 2025020400 3600 3600 1209600 86400""}], ""Comment"": ""Response from 193.206.141.38.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""univpm.it."", ""type"": 48}], ""Authority"": [{""name"": ""univpm.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns.univpm.it. root.dns.univpm.it. 2025020400 3600 3600 1209600 86400""}], ""Comment"": ""Response from 193.205.128.15.""}}"
IT0004,Politecnico di BARI,public,University,No,www.poliba.it,ITF4,Puglia,Puglia,ITF47,Bari,Bari,2025-02-07 21:27:07.405910,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""poliba.it."", ""type"": 48}], ""Authority"": [{""name"": ""poliba.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns1.poliba.it. sits.poliba.it. 2025020702 10800 3600 604800 86400""}], ""Comment"": ""Response from 193.206.141.38.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""poliba.it."", ""type"": 48}], ""Authority"": [{""name"": ""poliba.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns1.poliba.it. sits.poliba.it. 2025020702 10800 3600 604800 86400""}]}}"
IT0003,Università della CALABRIA,public,University,No,www.unical.it,ITF6,Calabria,Calabria,ITF61,Cosenza,Cosenza,2025-02-07 21:27:07.439907,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unical.it."", ""type"": 48}], ""Authority"": [{""name"": ""unical.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""ccuws1.unical. apm.unical. 2025020702 86400 3600 604800 86400""}], ""Comment"": ""Response from 160.97.7.13.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unical.it."", ""type"": 48}], ""Authority"": [{""name"": ""unical.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""ccuws1.unical. apm.unical. 2025020702 86400 3600 604800 86400""}], ""Comment"": ""Response from 160.97.4.1.""}}"
IT0006,Università degli Studi del SANNIO di BENEVENTO,public,University,No,www.unisannio.it,ITF3,Campania,Campania,ITF32,Benevento,Benevento,2025-02-07 21:27:07.441909,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unisannio.it."", ""type"": 48}], ""Authority"": [{""name"": ""unisannio.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""ns.unisannio.it. nsadmin.unisannio.it. 2024120901 10800 3600 1209600 3600""}], ""Comment"": ""Response from 2001:760:ffff:ffff::aa.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unisannio.it."", ""type"": 48}], ""Authority"": [{""name"": ""unisannio.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""ns.unisannio.it. nsadmin.unisannio.it. 2024120901 10800 3600 1209600 3600""}], ""Comment"": ""Response from 193.206.108.7.""}}"
IT0007,"Università Telematica ""GIUSTINO FORTUNATO""",private,University,No,www.unifortunato.eu,ITF3,Campania,Campania,ITF32,Benevento,Benevento,2025-02-07 21:27:07.561912,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unifortunato.eu."", ""type"": 48}], ""Authority"": [{""name"": ""unifortunato.eu."", ""type"": 6, ""TTL"": 793, ""data"": ""dns.technorail.com. hostmaster.unifortunato.eu. 2025013001 86400 7200 2592000 3600""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unifortunato.eu."", ""type"": 48}], ""Authority"": [{""name"": ""unifortunato.eu."", ""type"": 6, ""TTL"": 793, ""data"": ""dns.technorail.com. hostmaster.unifortunato.eu. 2025013001 86400 7200 2592000 3600""}], ""Comment"": ""Response from 95.110.136.8.""}}"
IT0008,Università degli Studi di BERGAMO,public,University,No,www.unibg.it,ITC4,Lombardia,Lombardia,ITC46,Bergamo,Bergamo,2025-02-07 21:27:07.616910,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unibg.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibg.it."", ""type"": 6, ""TTL"": 793, ""data"": ""unibg.it. root.castore.unibg.it. 2025011001 86400 14400 604800 86400""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unibg.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibg.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""unibg.it. root.castore.unibg.it. 2025011001 86400 14400 604800 86400""}], ""Comment"": ""Response from dns.cineca.it.(193.204.255.6).""}}"
IT0009,Università degli Studi di BOLOGNA,public,University,Yes,www.unibo.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH55,Bologna,Bologna,2025-02-07 21:27:07.669911,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unibo.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibo.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""almadns.unibo.it. postmaster.unibo.it. 2025020602 43200 3600 2419200 3600""}], ""Comment"": ""Response from 193.206.141.38.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unibo.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibo.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""almadns.unibo.it. postmaster.unibo.it. 2025020602 43200 3600 2419200 3600""}], ""Comment"": ""Response from 137.204.24.118.""}}"
IT0010,Libera Università di BOLZANO,public,University,No,www.unibz.it,ITH1,Provincia Autonoma di Bolzano/Bozen,Provincia Autonoma di Bolzano/Bozen,ITH10,Bolzano-Bozen,Bolzano-Bozen,2025-02-07 21:27:07.693914,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unibz.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibz.it."", ""type"": 6, ""TTL"": 300, ""data"": ""ns1-09.azure-dns.com. azuredns-hostmaster.microsoft.com. 2021070501 3600 300 2419200 300""}], ""Comment"": ""Response from 2603:1061:0:700::9.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unibz.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibz.it."", ""type"": 6, ""TTL"": 300, ""data"": ""ns1-09.azure-dns.com. azuredns-hostmaster.microsoft.com. 2021070501 3600 300 2419200 300""}], ""Comment"": ""Response from 208.84.5.9.""}}"
IT0012,Università degli Studi di BRESCIA,public,University,No,www.unibs.it,ITC4,Lombardia,Lombardia,ITC47,Brescia,Brescia,2025-02-07 21:27:07.696910,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unibs.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibs.it."", ""type"": 6, ""TTL"": 600, ""data"": ""dns.unibs.it. hostmaster.unibs.it. 2025020301 14400 3600 604800 3600""}], ""Comment"": ""Response from dns.cineca.it.(192.167.18.246).""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unibs.it."", ""type"": 48}], ""Authority"": [{""name"": ""unibs.it."", ""type"": 6, ""TTL"": 600, ""data"": ""dns.unibs.it. hostmaster.unibs.it. 2025020301 14400 3600 604800 3600""}], ""Comment"": ""Response from dns.cineca.it.(192.167.18.246).""}}"
IT0011,Università degli Studi di SCIENZE GASTRONOMICHE,private,University,No,www.unisg.it,ITC1,Piemonte,Piemonte,ITC16,Cuneo,Cuneo,2025-02-07 21:27:07.699909,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unisg.it."", ""type"": 48}], ""Authority"": [{""name"": ""unisg.it."", ""type"": 6, ""TTL"": 900, ""data"": ""ns1.register.it. hostmaster.register.it. 2025012803 10800 3600 604800 86400""}], ""Comment"": ""Response from 195.7.227.1.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unisg.it."", ""type"": 48}], ""Authority"": [{""name"": ""unisg.it."", ""type"": 6, ""TTL"": 900, ""data"": ""ns1.register.it. hostmaster.register.it. 2025012803 10800 3600 604800 86400""}], ""Comment"": ""Response from 195.7.227.1.""}}"
IT0013,Università degli Studi di CAGLIARI,public,University,Yes,www.unica.it,ITG2,Sardegna,Sardegna,ITG2F,,Cagliari,2025-02-07 21:27:07.786908,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unica.it."", ""type"": 48}], ""Authority"": [{""name"": ""unica.it."", ""type"": 6, ""TTL"": 793, ""data"": ""vaxca1.unica.it. root.unica.it. 2025013001 21600 7200 2419200 86400""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unica.it."", ""type"": 48}], ""Authority"": [{""name"": ""unica.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""vaxca1.unica.it. root.unica.it. 2025013001 21600 7200 2419200 86400""}], ""Comment"": ""Response from 193.206.141.38.""}}"
IT0014,Università degli Studi di CAMERINO,public,University,No,www.unicam.it,ITI3,Marche,Marche,ITI33,Macerata,Macerata,2025-02-07 21:27:07.877907,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unicam.it."", ""type"": 48}], ""Authority"": [{""name"": ""unicam.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""camcic.unicam.it. cinfo\\.sistemi.unicam.it. 2021101611 3600 600 1209600 3600""}], ""Comment"": ""Response from 193.206.141.38.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unicam.it."", ""type"": 48}], ""Authority"": [{""name"": ""unicam.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""camcic.unicam.it. cinfo\\.sistemi.unicam.it. 2021101611 3600 600 1209600 3600""}], ""Comment"": ""Response from 193.206.141.38.""}}"
IT0018,"Università ""Carlo Cattaneo"" - LIUC",private,University,No,www.liuc.it,ITC4,Lombardia,Lombardia,ITC41,Varese,Varese,2025-02-07 21:27:07.909910,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""liuc.it."", ""type"": 48}], ""Authority"": [{""name"": ""liuc.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""konnor.ns.cloudflare.com. dns.cloudflare.com. 2363820849 10000 2400 604800 1800""}], ""Comment"": ""Response from 172.64.32.197.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""liuc.it."", ""type"": 48}], ""Authority"": [{""name"": ""liuc.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""konnor.ns.cloudflare.com. dns.cloudflare.com. 2363820849 10000 2400 604800 1800""}], ""Comment"": ""Response from 2a06:98c1:50::ac40:20c5.""}}"
IT0015,Università degli Studi del MOLISE,public,University,No,www.unimol.it,ITF2,Molise,Molise,ITF22,Campobasso,Campobasso,2025-02-07 21:27:07.912907,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unimol.it."", ""type"": 48}], ""Authority"": [{""name"": ""unimol.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""hpsrv.unimol.it. admin.unimol.it. 2025020701 7000 7000 1814400 86400""}], ""Comment"": ""Response from 193.206.141.38.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unimol.it."", ""type"": 48}], ""Authority"": [{""name"": ""unimol.it."", ""type"": 6, ""TTL"": 793, ""data"": ""hpsrv.unimol.it. admin.unimol.it. 2025020701 7000 7000 1814400 86400""}]}}"
IT0017,Universita degli studi di Cassino e del Lazio Meridionale,public,University,No,www.unicas.it,ITI4,Lazio,Lazio,ITI45,Frosinone,Frosinone,2025-02-07 21:27:07.965908,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""unicas.it."", ""type"": 48}], ""Authority"": [{""name"": ""unicas.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns.unicas.it. root.unicas.it. 2025012802 43200 14400 302400 43200""}], ""Comment"": ""Response from 193.205.60.2.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""unicas.it."", ""type"": 48}], ""Authority"": [{""name"": ""unicas.it."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns.unicas.it. root.unicas.it. 2025012802 43200 14400 302400 43200""}], ""Comment"": ""Response from 193.206.141.38.""}}"
